   Elapsed time	  ECG I	iltered
      (seconds)	   (mV)	   (mV)
          0.000	  0.045	 -0.220
          0.002	  0.105	 -0.170
          0.004	  0.080	 -0.135
          0.006	  0.155	 -0.105
          0.008	  0.150	 -0.090
          0.010	  0.210	 -0.085
          0.012	  0.235	 -0.095
          0.014	  0.200	 -0.110
          0.016	  0.135	 -0.125
          0.018	  0.145	 -0.140
          0.020	  0.065	 -0.150
          0.022	  0.030	 -0.150
          0.024	  0.060	 -0.140
          0.026	  0.145	 -0.130
          0.028	  0.150	 -0.125
          0.030	  0.245	 -0.120
          0.032	  0.200	 -0.120
          0.034	  0.130	 -0.130
          0.036	  0.125	 -0.140
          0.038	  0.140	 -0.155
          0.040	  0.065	 -0.165
          0.042	  0.030	 -0.170
          0.044	  0.050	 -0.160
          0.046	  0.075	 -0.145
          0.048	  0.110	 -0.110
          0.050	  0.305	 -0.060
          0.052	  0.430	  0.000
          0.054	  0.440	  0.070
          0.056	  0.455	  0.160
          0.058	  0.490	  0.255
          0.060	  0.510	  0.355
          0.062	  0.610	  0.460
          0.064	  0.840	  0.555
          0.066	  1.000	  0.640
          0.068	  1.070	  0.705
          0.070	  1.155	  0.735
          0.072	  1.075	  0.725
          0.074	  0.995	  0.680
          0.076	  0.845	  0.600
          0.078	  0.735	  0.490
          0.080	  0.505	  0.360
          0.082	  0.375	  0.230
          0.084	  0.295	  0.105
          0.086	  0.250	 -0.005
          0.088	  0.165	 -0.085
          0.090	  0.195	 -0.140
          0.092	  0.180	 -0.165
          0.094	  0.150	 -0.170
          0.096	  0.140	 -0.165
          0.098	  0.070	 -0.145
          0.100	  0.070	 -0.130
          0.102	  0.065	 -0.115
          0.104	  0.120	 -0.100
          0.106	  0.175	 -0.095
          0.108	  0.240	 -0.090
          0.110	  0.320	 -0.090
          0.112	  0.285	 -0.090
          0.114	  0.225	 -0.090
          0.116	  0.195	 -0.090
          0.118	  0.080	 -0.090
          0.120	  0.055	 -0.090
          0.122	  0.120	 -0.095
          0.124	  0.125	 -0.095
          0.126	  0.220	 -0.100
          0.128	  0.280	 -0.110
          0.130	  0.235	 -0.110
          0.132	  0.205	 -0.115
          0.134	  0.165	 -0.115
          0.136	  0.170	 -0.110
          0.138	  0.090	 -0.105
          0.140	  0.090	 -0.100
          0.142	  0.115	 -0.090
          0.144	  0.180	 -0.085
          0.146	  0.245	 -0.080
          0.148	  0.280	 -0.080
          0.150	  0.245	 -0.080
          0.152	  0.280	 -0.085
          0.154	  0.240	 -0.090
          0.156	  0.150	 -0.100
          0.158	  0.050	 -0.105
          0.160	 -0.030	 -0.115
          0.162	  0.025	 -0.115
          0.164	  0.190	 -0.115
          0.166	  0.235	 -0.105
          0.168	  0.320	 -0.090
          0.170	  0.335	 -0.075
          0.172	  0.315	 -0.060
          0.174	  0.250	 -0.040
          0.176	  0.210	 -0.025
          0.178	  0.135	 -0.020
          0.180	  0.165	 -0.015
          0.182	  0.180	 -0.015
          0.184	  0.205	 -0.020
          0.186	  0.235	 -0.030
          0.188	  0.305	 -0.035
          0.190	  0.315	 -0.040
          0.192	  0.335	 -0.040
          0.194	  0.255	 -0.040
          0.196	  0.230	 -0.035
          0.198	  0.135	 -0.030
          0.200	  0.175	 -0.025
          0.202	  0.170	 -0.020
          0.204	  0.230	 -0.020
          0.206	  0.225	 -0.020
          0.208	  0.315	 -0.015
          0.210	  0.340	 -0.015
          0.212	  0.325	 -0.010
          0.214	  0.270	 -0.005
          0.216	  0.270	  0.005
          0.218	  0.190	  0.015
          0.220	  0.220	  0.020
          0.222	  0.220	  0.030
          0.224	  0.285	  0.035
          0.226	  0.300	  0.035
          0.228	  0.385	  0.035
          0.230	  0.365	  0.035
          0.232	  0.395	  0.030
          0.234	  0.340	  0.030
          0.236	  0.300	  0.035
          0.238	  0.200	  0.035
          0.240	  0.170	  0.045
          0.242	  0.235	  0.055
          0.244	  0.280	  0.065
          0.246	  0.350	  0.075
          0.248	  0.410	  0.085
          0.250	  0.505	  0.100
          0.252	  0.510	  0.115
          0.254	  0.475	  0.125
          0.256	  0.405	  0.140
          0.258	  0.265	  0.155
          0.260	  0.295	  0.170
          0.262	  0.355	  0.180
          0.264	  0.450	  0.190
          0.266	  0.445	  0.190
          0.268	  0.590	  0.195
          0.270	  0.600	  0.190
          0.272	  0.515	  0.190
          0.274	  0.445	  0.185
          0.276	  0.380	  0.185
          0.278	  0.350	  0.185
          0.280	  0.325	  0.190
          0.282	  0.385	  0.195
          0.284	  0.465	  0.205
          0.286	  0.530	  0.220
          0.288	  0.575	  0.230
          0.290	  0.635	  0.240
          0.292	  0.585	  0.250
          0.294	  0.485	  0.255
          0.296	  0.430	  0.255
          0.298	  0.360	  0.255
          0.300	  0.440	  0.255
          0.302	  0.485	  0.255
          0.304	  0.495	  0.255
          0.306	  0.500	  0.250
          0.308	  0.610	  0.250
          0.310	  0.645	  0.250
          0.312	  0.570	  0.245
          0.314	  0.480	  0.240
          0.316	  0.450	  0.230
          0.318	  0.340	  0.215
          0.320	  0.325	  0.200
          0.322	  0.335	  0.180
          0.324	  0.440	  0.160
          0.326	  0.400	  0.145
          0.328	  0.445	  0.130
          0.330	  0.490	  0.120
          0.332	  0.435	  0.110
          0.334	  0.350	  0.100
          0.336	  0.330	  0.095
          0.338	  0.195	  0.080
          0.340	  0.200	  0.065
          0.342	  0.205	  0.045
          0.344	  0.320	  0.025
          0.346	  0.270	  0.005
          0.348	  0.320	 -0.015
          0.350	  0.340	 -0.030
          0.352	  0.290	 -0.035
          0.354	  0.240	 -0.035
          0.356	  0.100	 -0.030
          0.358	  0.140	 -0.025
          0.360	  0.125	 -0.015
          0.362	  0.200	 -0.010
          0.364	  0.240	 -0.010
          0.366	  0.265	 -0.020
          0.368	  0.315	 -0.030
          0.370	  0.275	 -0.045
          0.372	  0.215	 -0.060
          0.374	  0.130	 -0.075
          0.376	  0.095	 -0.085
          0.378	  0.060	 -0.090
          0.380	  0.005	 -0.090
          0.382	  0.110	 -0.090
          0.384	  0.140	 -0.090
          0.386	  0.180	 -0.090
          0.388	  0.250	 -0.095
          0.390	  0.240	 -0.100
          0.392	  0.155	 -0.110
          0.394	  0.080	 -0.115
          0.396	  0.050	 -0.120
          0.398	  0.025	 -0.125
          0.400	  0.005	 -0.125
          0.402	  0.080	 -0.120
          0.404	  0.140	 -0.110
          0.406	  0.165	 -0.105
          0.408	  0.140	 -0.100
          0.410	  0.250	 -0.100
          0.412	  0.240	 -0.100
          0.414	  0.105	 -0.105
          0.416	  0.085	 -0.110
          0.418	 -0.010	 -0.115
          0.420	  0.000	 -0.115
          0.422	  0.095	 -0.115
          0.424	  0.100	 -0.110
          0.426	  0.210	 -0.095
          0.428	  0.260	 -0.085
          0.430	  0.240	 -0.075
          0.432	  0.220	 -0.065
          0.434	  0.185	 -0.060
          0.436	  0.065	 -0.060
          0.438	  0.025	 -0.070
          0.440	  0.020	 -0.080
          0.442	  0.065	 -0.095
          0.444	  0.135	 -0.110
          0.446	  0.230	 -0.115
          0.448	  0.200	 -0.120
          0.450	  0.200	 -0.120
          0.452	  0.160	 -0.110
          0.454	  0.115	 -0.100
          0.456	  0.045	 -0.085
          0.458	  0.070	 -0.070
          0.460	  0.050	 -0.060
          0.462	  0.090	 -0.050
          0.464	  0.155	 -0.050
          0.466	  0.195	 -0.050
          0.468	  0.255	 -0.050
          0.470	  0.265	 -0.055
          0.472	  0.210	 -0.060
          0.474	  0.170	 -0.060
          0.476	  0.055	 -0.055
          0.478	  0.050	 -0.050
          0.480	  0.055	 -0.045
          0.482	  0.150	 -0.045
          0.484	  0.205	 -0.040
          0.486	  0.265	 -0.040
          0.488	  0.250	 -0.040
          0.490	  0.175	 -0.040
          0.492	  0.205	 -0.040
          0.494	  0.135	 -0.040
          0.496	  0.105	 -0.035
          0.498	  0.080	 -0.030
          0.500	  0.080	 -0.025
          0.502	  0.135	 -0.020
          0.504	  0.220	 -0.015
          0.506	  0.255	 -0.015
          0.508	  0.265	 -0.020
          0.510	  0.230	 -0.030
          0.512	  0.185	 -0.040
          0.514	  0.150	 -0.050
          0.516	  0.050	 -0.055
          0.518	  0.005	 -0.055
          0.520	  0.030	 -0.055
          0.522	  0.140	 -0.045
          0.524	  0.195	 -0.035
          0.526	  0.260	 -0.030
          0.528	  0.250	 -0.025
