   Elapsed time	   ECG1	   ECG2
      (seconds)	   (mV)	   (mV)
         10.000	 -0.130	  0.160
         10.008	 -0.110	  0.180
         10.016	 -0.160	  0.160
         10.023	 -0.010	  0.130
         10.031	 -0.040	 -0.010
         10.039	 -0.010	  0.040
         10.047	 -0.090	 -0.010
         10.055	  0.010	 -0.040
         10.062	 -0.090	 -0.030
         10.070	 -0.020	 -0.020
         10.078	 -0.010	 -0.080
         10.086	 -0.050	  0.020
         10.094	 -0.090	 -0.010
         10.102	 -0.030	 -0.040
         10.109	 -0.090	 -0.050
         10.117	 -0.050	 -0.010
         10.125	 -0.010	 -0.030
         10.133	 -0.060	  0.000
         10.141	 -0.040	 -0.030
         10.148	 -0.010	 -0.030
         10.156	 -0.020	 -0.040
         10.164	 -0.070	 -0.030
         10.172	 -0.030	 -0.040
         10.180	 -0.040	 -0.020
         10.188	  0.000	 -0.050
         10.195	 -0.040	 -0.010
         10.203	  0.000	 -0.040
         10.211	 -0.030	 -0.050
         10.219	  0.010	 -0.060
         10.227	 -0.060	 -0.030
         10.234	  0.030	 -0.040
         10.242	  0.200	  0.040
         10.250	  0.490	  0.150
         10.258	  1.140	 -0.350
         10.266	  1.960	 -2.230
         10.273	  1.940	 -3.540
         10.281	  1.460	 -4.260
         10.289	  0.700	 -3.910
         10.297	  0.380	 -2.760
         10.305	  0.000	 -2.360
         10.312	 -0.460	 -1.670
         10.320	 -0.470	 -1.230
         10.328	 -0.480	 -0.880
         10.336	 -0.280	 -0.610
         10.344	 -0.190	 -0.330
         10.352	 -0.150	  0.000
         10.359	 -0.090	  0.220
         10.367	 -0.150	  0.200
         10.375	 -0.170	  0.240
         10.383	 -0.200	  0.280
         10.391	 -0.180	  0.260
         10.398	 -0.210	  0.310
         10.406	 -0.180	  0.330
         10.414	 -0.200	  0.350
         10.422	 -0.230	  0.360
         10.430	 -0.270	  0.370
         10.438	 -0.270	  0.400
         10.445	 -0.300	  0.370
         10.453	 -0.340	  0.430
         10.461	 -0.300	  0.480
         10.469	 -0.320	  0.500
         10.477	 -0.340	  0.540
         10.484	 -0.380	  0.550
         10.492	 -0.450	  0.610
         10.500	 -0.440	  0.670
         10.508	 -0.440	  0.690
         10.516	 -0.500	  0.740
         10.523	 -0.500	  0.840
         10.531	 -0.600	  0.780
         10.539	 -0.620	  0.830
         10.547	 -0.670	  0.830
         10.555	 -0.600	  0.820
         10.562	 -0.610	  0.800
